date	open	high	low	close	volume
2013-04-08	25.2459	25.2459	25.0174	25.1229	34759424
2013-04-09	25.2459	26.1993	25.2019	26.0192	77733607
2013-04-10	25.984	26.6431	25.9401	26.6079	71024236
2013-04-11	25.571	25.6589	25.2459	25.426	130903838
2013-04-12	25.3513	25.5007	25.1844	25.2986	62882640
2013-04-15	25.1756	25.4656	25.0526	25.2107	56332862
2013-04-16	25.3953	25.6062	25.2151	25.4568	52795256
2013-04-17	25.3513	25.5183	25.1316	25.3294	52840621
2013-04-18	25.4392	25.4656	25.0438	25.2986	56772087
2013-04-19	26.028	26.5728	26.0192	26.1554	99790116
2013-04-22	26.6255	27.3988	26.5991	27.0912	137901279
2013-04-23	26.977	27.1527	26.6958	26.8891	59027213
2013-04-24	26.9067	28.049	26.8891	27.9084	90897055
2013-04-25	27.8645	28.8575	27.7151	28.0666	110685794
2013-04-26	28.0315	28.1017	27.636	27.9348	47799284
2013-04-29	27.9436	28.7169	27.9172	28.6554	59116288
2013-04-30	28.6114	29.0947	28.3654	29.0859	75116271
2013-05-01	28.9365	29.0684	28.6466	28.752	54328805
2013-05-02	28.6729	29.1474	28.462	29.1387	46055944
2013-05-03	29.2002	29.455	29.0684	29.4286	46784484
2013-05-06	29.3671	29.7977	29.2177	29.6571	40978078
2013-05-07	29.5692	29.6922	29.2089	29.2705	42916453
2013-05-08	29.0567	29.2089	28.6905	28.9893	51643216
2013-05-09	28.8662	28.9981	28.6378	28.6993	46399199
2013-05-10	28.7081	28.752	28.4005	28.7256	36394841
2013-05-13	28.6554	29.0596	28.6026	29.0244	36027027
2013-05-14	29.0776	29.6704	29.0244	29.6704	56867771
2013-05-15	29.5996	29.9978	29.5819	29.9491	46303779
2013-05-16	29.7677	30.219	29.6881	30.1571	59381496
2013-05-17	30.2014	30.8561	30.1748	30.8561	60666467
2013-05-20	30.7322	31.0552	30.688	31.042	54020102
2013-05-21	31.0597	31.2123	30.7234	30.8384	48693429
2013-05-22	30.7853	30.8296	30.4048	30.6261	66043135
2013-05-23	30.2898	30.573	29.9978	30.219	51102326
2013-05-24	30.0155	30.334	29.9978	30.3243	33174304
2013-05-28	30.4579	31.1304	30.4491	30.9889	48211220
2013-05-29	30.7411	30.9889	30.5907	30.865	38411673
2013-05-30	30.8384	31.1924	30.8057	30.9977	51130805
2013-05-31	30.8119	31.2189	30.7853	30.8827	56162496
2013-06-03	30.9004	31.5286	30.8207	31.4932	51249396
