date	open	high	low	close	volume
2013-04-08	140.5225	141.3823	140.0519	141.3732	86406390
2013-04-09	141.6357	142.3778	141.1651	141.8619	100762236
2013-04-10	142.2421	143.7806	142.2058	143.5996	135064585
2013-04-11	143.6267	144.5408	143.4819	144.0702	110026835
2013-04-12	143.6086	143.9344	142.9208	143.7172	116234137
2013-04-15	142.9932	143.1109	140.3687	140.3849	216210295
2013-04-16	141.4456	142.5317	141.1017	142.4593	147215890
2013-04-17	141.4456	141.4728	139.6265	140.3777	226580070
2013-04-18	140.613	140.6492	138.9659	139.4998	167415764
2013-04-19	139.8256	140.7759	139.4817	140.7126	149577337
2013-04-22	140.9841	141.6719	140.0519	141.337	106460508
2013-04-23	142.0429	142.9299	141.337	142.7941	165858583
2013-04-24	142.8394	143.2647	142.5769	142.8846	96580174
2013-04-25	143.3009	144.1426	143.0837	143.4638	130849307
2013-04-26	143.2919	143.5362	142.7489	143.2104	95891293
2013-04-29	143.5996	144.4865	143.3733	144.1697	88476104
2013-04-30	144.1426	144.5499	143.5453	144.5137	115868414
2013-05-01	144.1969	144.2693	143.0837	143.2466	138772621
2013-05-02	143.6086	144.7037	143.4729	144.577	96336318
2013-05-03	145.835	146.5047	144.606	146.0413	143979238
2013-05-06	146.1517	146.6223	146.0884	146.4142	66750706
2013-05-07	146.731	147.2016	146.3146	147.1562	89948203
2013-05-08	146.9934	147.8713	146.912	147.826	97023107
2013-05-09	147.7627	148.1518	147.0387	147.4106	106566417
2013-05-10	147.5093	148.0159	147.0749	147.8894	103075824
2013-05-13	147.6993	148.2514	147.3554	148.007	81688029
2013-05-14	148.1247	149.6451	148.1247	149.5365	118798711
2013-05-15	149.2922	150.6406	149.2469	150.3375	120608462
2013-05-16	150.0343	150.5592	149.4098	149.6361	109779806
2013-05-17	150.1881	151.1746	149.989	151.0841	129718215
2013-05-20	150.9393	151.6633	150.7854	151.075	85006385
2013-05-21	151.2108	151.8624	150.6859	151.2923	95701008
2013-05-22	151.4461	153.0118	149.4822	150.17	243639217
2013-05-23	148.5681	150.1519	148.369	149.7356	210803037
2013-05-24	148.8487	149.6727	148.4052	149.6071	151527477
2013-05-28	151.1746	151.8443	150.0614	150.5049	143410276
2013-05-29	149.7085	150.0524	148.731	149.5275	160214092
2013-05-30	149.6451	150.7673	149.5275	150.0795	106551037
2013-05-31	149.6632	150.5139	147.636	147.9211	176380148
2013-06-03	148.2695	148.8397	147.2105	148.7401	167962719
2013-06-04	148.8215	149.4189	147.274	148.0251	157537197
2013-06-05	147.5998	147.8984	145.8259	145.9544	211235847
2013-06-06	145.8893	147.283	145.0295	147.274	200064681
2013-06-07	148.2876	149.2831	147.645	149.1474	185761019
2013-06-10	149.6089	149.6904	148.7582	149.1474	102542965
2013-06-11	147.7898	148.9121	147.2821	147.607	159379607
2013-06-12	148.6224	148.7763	146.2513	146.387	176962186
2013-06-13	146.3056	148.8758	145.9798	148.6134	163201480
2013-06-14	148.4505	149.0297	147.4369	147.6767	141018099
2013-06-17	148.6858	149.5275	147.7167	148.8215	136114269
2013-06-18	148.903	150.2243	148.894	149.9936	114592356
2013-06-19	149.8714	150.1338	147.8622	147.9256	205916944
2013-06-20	146.4866	147.9408	143.8801	144.2602	320785551
2013-06-21	145.242	145.3512	143.2677	144.7234	271424782
2013-06-24	143.2131	144.1411	141.6846	142.8947	221849792
2013-06-25	144.1866	145.6605	143.2222	144.2731	161987972
