{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.4389}
{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.5423}
{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2263}
{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.0258}
{'neg': 0.257, 'neu': 0.743, 'pos': 0.0, 'compound': -0.5413}
{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}
{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.7579}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.5106}
{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.7579}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.6597}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.6705}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.5719}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}
{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.5106}
{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.7351}
{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.2732}
{'neg': 0.211, 'neu': 0.67, 'pos': 0.12, 'compound': -0.4404}
{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.5267}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}
{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.4549}
{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.7269}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.1779}
{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}
{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.612, 'neu': 0.388, 'pos': 0.0, 'compound': -0.9118}
{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.3182}
{'neg': 0.143, 'neu': 0.714, 'pos': 0.143, 'compound': 0.0}
{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2732}
{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5574}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.6486}
{'neg': 0.426, 'neu': 0.494, 'pos': 0.08, 'compound': -0.765}
{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.0258}
