date	AAPL	MSFT	SPY
2013-04-12	55.8929	25.2986	143.7172
2013-04-15	54.5989	25.2107	140.3849
2013-04-16	55.4299	25.4568	142.4593
2013-04-17	52.3817	25.3294	140.3777
2013-04-18	50.9837	25.2986	139.4998
2013-04-19	50.7861	26.1554	140.7126
2013-04-22	51.8446	27.0912	141.337
2013-04-23	52.8147	26.8891	142.7941
2013-04-24	52.7279	27.9084	142.8846
2013-04-25	53.1073	28.0666	143.4638
2013-04-26	54.255	27.9348	143.2104
2013-04-29	55.9345	28.6554	144.1697
2013-04-30	57.5809	29.0859	144.5137
2013-05-01	57.127	28.752	143.2466
2013-05-02	57.9372	29.1387	144.577
2013-05-03	58.5172	29.4286	146.0413
2013-05-06	59.9125	29.6571	146.4142
2013-05-07	59.6457	29.2705	147.1562
2013-05-08	60.3196	28.9893	147.826
2013-05-09	59.7934	28.6993	147.4106
2013-05-10	59.2959	28.7256	147.8894
2013-05-13	59.5276	29.0244	148.007
2013-05-14	58.1034	29.6704	149.5365
2013-05-15	56.1385	29.9491	150.3375
2013-05-16	56.8883	30.1571	149.6361
2013-05-17	56.7158	30.8561	151.0841
2013-05-20	57.9816	31.042	151.075
2013-05-21	57.5536	30.8384	151.2923
2013-05-22	57.7753	30.6261	150.17
2013-05-23	57.8782	30.219	149.7356
2013-05-24	58.2723	30.3243	149.6071
2013-05-28	57.7865	30.9889	150.5049
2013-05-29	58.2461	30.865	149.5275
2013-05-30	59.114	30.9977	150.0795
2013-05-31	58.8725	30.8827	147.9211
2013-06-03	59.0014	31.4932	148.7401
2013-06-04	58.8168	30.9623	148.0251
2013-06-05	58.267	30.7765	145.9544
2013-06-06	57.3965	30.9358	147.274
2013-06-07	57.8352	31.564	149.1474
2013-06-10	57.4528	31.3871	149.1474
2013-06-11	57.2839	30.8296	147.607
2013-06-12	56.5757	30.9712	146.387
2013-06-13	57.0699	30.719	148.6134
2013-06-14	56.2956	30.4402	147.6767
2013-06-17	56.5509	30.9712	148.8215
2013-06-18	56.5207	30.9535	149.9936
2013-06-19	55.3727	30.6084	147.9256
2013-06-20	54.5661	29.635	144.2602
2013-06-21	54.1291	29.4359	144.7234
2013-06-24	52.6944	29.8341	142.8947
2013-06-25	52.7062	29.7943	144.2731
2013-06-26	52.1093	30.396	145.6969
2013-06-27	51.5477	30.6349	146.5521
2013-06-28	51.9077	30.5685	145.9517
2013-07-01	53.5688	30.4048	146.8069
2013-07-02	54.7823	30.0332	146.6704
2013-07-03	55.0847	30.0951	146.7341
2013-07-05	54.6423	30.2721	148.3172
2013-07-08	54.332	30.3739	149.1587
2013-07-09	55.2876	30.396	150.2369
2013-07-10	55.0756	30.7057	150.2933
2013-07-11	55.934	31.5773	152.3385
2013-07-12	55.8322	31.564	152.4022
2013-07-15	55.9539	32.0065	152.989
2013-07-16	56.3146	32.095	152.4159
2013-07-17	56.3296	31.626	152.8026
2013-07-18	56.5192	31.3605	153.6395
2013-07-19	55.628	27.7856	153.9125
2013-07-22	55.806	28.3253	154.2127
